song,artist
What I Didn't Know,Athenaeum
Bittersweet,Fuel
Save Yourself,Stabbing Westward
Special,Garbage
Use The Man,Megadeth
Jump Jive An' Wail,The Brian Setzer Orchestra
It's All Been Done,Barenaked Ladies
It's Alright,Candlebox
 Your Life Is Now,John Mellencamp
Brimful Of Asha,Cornershop
Dragula,Rob Zombie
Battle Flag,Lo Fidelity Allstars
Soft,Second Coming
Deadweight,Beck
Father of Mine,Everclear
Redundant,Green Day
What Kind of Love Are You On,Aerosmith
She Said,Collective Soul
Lucky Man,The Verve
From Your Mouth,God Lives Underwater
The Power of Good-Bye,Madonna
The Mummer's Dance,Loreena McKennitt
Millennium,Robbie Williams
Surefire (Never Enough),Econoline Crush
I'll Be,Edwin McCain
Boogie King,The Screamin' Cheetah Wheelies
My Favourite Game,The Cardigans
Don't Drink the Water,Dave Matthews Band
Sweetest Thing,U2
Scar Tissue,Red Hot Chili Peppers
Heavy,Collective Soul
My Own Worst Enemy,Lit
Higher,Creed
All the Small Things,Blink-182
Take a Picture,Filter
No Leaf Clover,Metallica
The Chemicals Between Us,Bush
Livin' la Vida Loca,Ricky Martin
Learn to Fly,Foo Fighters
Everything You Want,Vertical Horizon
Pardon Me,Incubus
Last Kiss,Pearl Jam
Re-Arranged,Limp Bizkit
Voodoo,Godsmack
The Dolphin's Cry, Live
Falling Away from Me,Korn
Only God Knows Why,Kid Rock
Praise You,Fatboy Slim
All Star,Smash Mouth
Mas Tequila,Sammy Hagar and the Waboritas
Guerilla Radio,Rage Against the Machine
Battle Flag,Lo Fidelity Allstars (featuring Pigeonhed)
What's My Age Again?,Blink-182
Why Don't You Get a Job?,The Offspring
Lit Up,Buckcherry
Shining In The Light,Jimmy Page & Robert Plant
The Great Beyond,R.E.M.
Nookie,Limp Bizkit
American Woman,Lenny Kravitz
Enemy,Days of the New
Why I'm Here,Oleander
Put Your Lights On,Santana featuring Everlast
Everything Is Broken,Kenny Wayne Shepherd Band
Miserable,Lit
Steal My Sunshine,Len
Head,Tin Star
Crush,Dave Matthews Band
Paper Sun,Def Leppard
The Everlasting Gaze,The Smashing Pumpkins
Black Balloon,The Goo Goo Dolls
You Wanted More,Tonic
Fear The Voices,Alice In Chains
Do Right,Jimmie's Chicken Shack
The Kids Aren't Alright,The Offspring
One Hit Wonder,Everclear
Cowboy,Kid Rock
Better Days (And the Bottom Drops Out),Citizen King
Freak on a Leash,Korn
She's All I Ever Had,Ricky Martin
Keep Away,Godsmack
Smooth,Santana Feat. Rob Thomas (of Matchbox 20)
Get Born Again,Alice in Chains
Workin',Lynyrd Skynyrd
Awful,Hole
We're in This Together,Nine Inch Nails
Fearless Boogie,ZZ Top
Can't Change Me,Chris Cornell
Down,Stone Temple Pilots
Fly,Loudmouth
"Hey, Hey",Bad Company
Vintage Eyes,Second Coming
Whiskey in the Jar,Metallica
Maria,Blondie
Sheep Go To Heaven,Cake
Joining You,Alanis Morissette
Little Black Backpack,Stroke 9
Into the Void,Nine Inch Nails
At The Stars,Better Than Ezra
Level On The Inside,Dovetail Joint
Freak of the Week,Marvelous 3
Free,Train
Someday,Sugar Ray
Lost in You,Garth Brooks
Swingin',Tom Petty & The Heartbreakers
Hero,The Verve Pipe
Happy Pills,Candlebox
Selling My Soul,Black Sabbath
She's the One,Robbie Williams
Nobody's Real,Powerman 5000
Stitches,Orgy
Another Brick In The Wall (Part 2),Class Of '99
Room At The Top,Tom Petty & The Heartbreakers
Around the World,Red Hot Chili Peppers
Knock Down Walls,Tonic
Ends,Everlast
Fast As You Can,Fiona Apple
Beautiful,Joydrop 
Breadline,Megadeth
Loser,3 Doors Down
Hanging by a Moment,Lifehouse
Kryptonite,3 Doors Down
No Leaf Clover,Metallica with Michael Kamen conducting The San Francisco Symphony Orchestra
Otherside,Red Hot Chili Peppers
Hemorrhage (In My Hands),Fuel
Butterfly,Crazy Town
With Arms Wide Open,Creed
Drive,Incubus
Why Pt. 2,Collective Soul
Last Resort,Papa Roach
Awake,Godsmack
Outside,Aaron Lewis
Rollin' (Air Raid Vehicle),Limp Bizkit
I Disappear,Metallica
One Step Closer,Linkin Park
Take A Picture,Filter
Californication,Red Hot Chili Peppers
The Real Slim Shady,Eminem
Maria Maria,Santana
Minority,Green Day
Rollin' (Urban Assault Vehicle),Limp Bizkit
Why (Part 2),Collective Soul
Again,Lenny Kravitz
Original Prankster,The Offspring
Guerrilla Radio,Rage Against The Machine
Yellow,Coldplay
Stiff Upper Lip,AC/DC
South Side,Moby
Stand Inside Your Love,The Smashing Pumpkins
Falling Away From Me,Korn
Warning,Green Day
Sour Girl,Stone Temple Pilots
Beautiful Day,U2
The Bad Touch,Bloodhound Gang
Change (In the House of Flies),Deftones
Stellar,Incubus
Was,Kenny Wayne Shepherd Band
Wonderful,Everclear
Judith,A Perfect Circle
Optimistic,Radiohead
What If,Creed
Weapon & The Wound,Days Of The New
N.I.B.,Primus with Ozzy Osbourne
Shape of My Heart,Backstreet Boys
Serious JuJu,Sammy Hagar
Maybe Some Day,The Cure
Goodbye Lament,Iommi featuring Dave Grohl
Right Now,SR-71
Nothing As It Seems,Pearl Jam
Ex-Girlfriend,No Doubt
Into The Void,Nine Inch Nails
Adam's Song,Blink-182
So Sad To Say,The Mighty Mighty Bosstones
Boyz-N-The-Hood,Dynamite Hack
Voices,Disturbed
Rise,Gabrielle
Hell On High Heels,Motley Crue
Simple Kind Of Life,No Doubt
Last Goodbye,Kenny Wayne Shepherd Band
When It All Goes Wrong Again,Everclear
Angel's Son,Lajon
Man Overboard,Blink-182
Silver Future,Monster Magnet
Breathless,The Corrs
Make Me Bad,Korn
Never Let You Go,Third Eye Blind
Take a Look Around,Limp Bizkit
AM Radio,Everclear
If You're Gone,matchbox twenty
Young Lust,Pink Floyd
She Bangs,Ricky Martin
Promise,Eve 6
It's My Life,Bon Jovi
Never Gonna Come Back Down,BT
Warm Machine,Bush
Babylon,David Gray
Painted Perfect,One Way Ride
Flowing,311
Next Year,Foo Fighters
The Hollow,A Perfect Circle
Heaven & Hot Rods,Stone Temple Pilots
Teenage Dirtbag,Wheatus
I Turn to You,Melanie C
Karma,Diffuser
Light Years,Pearl Jam
Letting the Cables Sleep,Bush
Are You Ready?,Creed
Step into the Light,Dust for Life
On The Roof Again,Eve 6
How You Remind Me,Nickelback
It's Been Awhile,Staind
Blurry,Puddle of Mudd
Wasting My Time,Default
Hanging By A Moment,Lifehouse
My Sacrifice,Creed
In the End,Linkin Park
Too Bad,Nickelback
The Middle,Jimmy Eat World
Youth of the Nation,P.O.D.
Smooth Criminal,Alien Ant Farm
For You,Staind
Jaded,Aerosmith
South Side,Moby featuring Gwen Stefani
Thank You,Dido
Crawling in the Dark,Hoobastank
Schism, Tool
Duck and Run,3 Doors Down
Control,Puddle of Mudd
Alive,P.O.D.
Follow Me,Uncle Kracker
Breakdown,Tantric
Wish You Were Here,Incubus
Crawling,Linkin Park
Fat Lip,Sum 41
My Way,Limp Bizkit
"Whenever, Wherever",Shakira
Lickin',The Black Crowes
Hash Pipe,Weezer
Just Push Play,Aerosmith 
Defy You,The Offspring
Nice to Know You,Incubus
Your Disease,Saliva
Fade,Staind
The Rock Show,Blink-182
Clint Eastwood,Gorillaz
Greed,Godsmack
Down with the Sickness,Disturbed
Soul Singing,The Black Crowes
Tainted Love,Marilyn Manson
Hey Pretty,Poe
Last Nite,The Strokes
Killing The Fly,The Union Underground
Chop Suey!,System Of A Down
The One,Foo Fighters
Days of the Week,Stone Temple Pilots
Gets Me Through,Ozzy Osbourne
The Way You Like It,Adema
I'll Be Here Awhile,311
Hit Or Miss,New Found Glory
Innocent,Fuel 
Drops of Jupiter (Tell Me),Train
Step Into The Light,Dust For Life
Let Sally Drive (Ride Sally Ride),Sammy Hagar
Lateralus,Tool
Digital Bath,Deftones
Sweet Daze ,Pete.
Rise,The Cult
Photograph,Weezer
Bodies,Drowning Pool
First Date,Blink-182
Elevation,U2
Bleed American,Jimmy Eat World
Nobody Wants to Be Lonely ,Ricky Martin & Christina Aguilera
Hang On To This,Days Of The New
Deep,Nine Inch Nails
It Don't Matter,Rehab
I Did It,Dave Matthews Band
Sick Cycle Carousel,Lifehouse
Superman Inside,Eric Clapton
Flavor of the Weak,American Hi-Fi
Make It Right,Econoline Crush
Pain,Stereomud 
Safe In New York City,AC/DC
Outside,Aaron Lewis from Staind (with Fred Durst from Limp Bizkit)
Wherever You Will Go,The Calling
Beginning Of The End,Systematic
Moto Psycho,Megadeth
Name Of The Game,The Crystal Method
What Took You So Long?,Emma Bunton
Politically Correct,SR-71
Makin' Money,Handsome Devil
Are You There?,Oleander
Be Like That,3 Doors Down
Walk On,U2
My Happiness,Powderfinger
I Want To Live,Spacehog
God Gave Me Everything,Mick Jagger
What A Day,Nonpoint
When I'm Gone,3 Doors Down
Blurry,Puddle Of Mudd
By the Way,Red Hot Chili Peppers
Headstrong,Trapt
Hero,Chad Kroeger
All My Life,Foo Fighters
Always,Saliva
No One Knows,Queens of the Stone Age
Youth Of The Nation,P.O.D.
The Red,Chevelle
You Know You're Right,Nirvana
Drift & Die,Puddle of Mudd
Fine Again,Seether
Can't Stop,Red Hot Chili Peppers
Aerials,System of a Down
She Hates Me,Puddle of Mudd
 Crawling In The Dark,Hoobastank
One Last Breath,Creed
I Stand Alone,Godsmack
Poem,Taproot
Bother,Stone Sour
 Complicated,Avril Lavigne
Prayer,Disturbed
Never Again,Nickelback
Seein' Red,Unwritten Law
Remember,Disturbed
Running Away,Hoobastank
Cochise,Audioslave
Nice To Know You,Incubus
Clocks,Coldplay
One Little Victory,Rush
I'm with You,Avril Lavigne
Here to Stay,Korn
She Loves Me Not,Papa Roach
Honestly,Zwan
Toxicity,System of a Down
Die Another Day,Madonna
Demon Speeding,Rob Zombie
Sweetness,Jimmy Eat World
The Game of Love,Santana
Up All Night,Unwritten Law
Underneath Your Clothes,Shakira
Dreamer,Ozzy Osbourne
Warning,Incubus
Adriana,Headstrong
Downfall,TRUSTcompany
Not Falling,Mudvayne
Lonely Road Of Faith,Kid Rock
"Swing, Swing",The All-American Rejects
Keep Fishin',Weezer
The Zephyr Song,Red Hot Chili Peppers
Still Waiting,Sum 41
Someday,The Strokes
Thoughtless,Korn
Weathered,Creed
Lose Yourself,Eminem
Innervision,System of a Down
Get Away,Earshot
I Am Mine,Pearl Jam
Tomorrow,SR-71
The Taste Of Ink,The Used
Down,Socialburn
Sk8er Boi,Avril Lavigne
Alone I Break,Korn
Sound of the Underground,Girls Aloud
Hey Mister,Custom
Picture,Kid Rock
Deny,Default
Drowning,Crazy Town
Where Are You Going,Dave Matthews Band
Get Over It,OK Go
Innocent,Our Lady Peace
Adrenaline,Gavin Rossdale
Little by Little,Oasis
Don't Stop,The Rolling Stones
Soak Up the Sun,Sheryl Crow
Live Again,Sevendust
Colourblind,Darius
All You Wanted,Michelle Branch
Hate to Say I Told You So,The Hives
My Friends Over You,New Found Glory
Without Me,Eminem
If Tomorrow Never Comes,Ronan Keating
The Last DJ,Tom Petty & The Heartbreakers
Get Free,The Vines
The Hindu Times,Oasis
Screaming Infidelities ,Dashboard Confessional
Somewhere Out There,Our Lady Peace
No Light,3rd Strike
Remember Me,Hoobastank
So Far Away,Staind
Like a Stone,Audioslave
Numb,Linkin Park
No One Knows,Queens Of The Stone Age
Figured You Out,Nickelback
Faint,Linkin Park
Somewhere I Belong,Linkin Park
I Hate Everything About You,Three Days Grace
Send the Pain Below,Chevelle
Hit That,The Offspring
Seven Nation Army ,The White Stripes
Someday,Nickelback
Last Train Home,Lostprophets
Bring Me to Life,Evanescence
Weak and Powerless,A Perfect Circle
I Am The Highway,Audioslave
Are You Gonna Be My Girl?,Jet
Away from Me,Puddle of Mudd
Still Frame,Trapt
The Outsider,A Perfect Circle
One Thing,Finger Eleven
45,Shinedown
Just Because,Jane's Addiction
I Believe in a Thing Called Love,The Darkness
Straight Out of Line,Godsmack
Meant to Live,Switchfoot
Show Me How to Live,Audioslave
Behind Blue Eyes,Limp Bizkit
Think Twice,Eve 6
Re-Align,Godsmack
Price to Play,Staind
St. Anger,Metallica
All the Things She Said,t.A.T.u.
Times Like These,Foo Fighters
In This Diary,The Ataris
The Boys of Summer,The Ataris
Stillborn,Zakk Wylde's Black Label Society
Feeling This,Blink-182
How About You,Staind
Stupid Girl,Cold
Innervision,System Of A Down
Closure,Chevelle
The Hell Song,Sum 41
Dosed,Red Hot Chili Peppers
Mad World,Michael Andrews
Buried Myself Alive,The Used
Fall Back Down,Rancid
Do You Call My Name,RA
Liberate,Disturbed
My Immortal,Evanescence
It's My Life,No Doubt
Rollover DJ,Jet
World So Cold,Mudvayne
Bottom of a Bottle,Smile Empty Soul
A Praise Chorus,Jimmy Eat World
Serenity,Godsmack
Unwell,matchbox twenty
Time Is Running Out,Muse
Rest Of My Life,Unwritten Law
Suffocate,Cold
Take It Off,The Donnas
Hysteria,Muse
Set Me Free,Velvet Revolver
Going Under,Evanescence
The Scientist,Coldplay
Inhale,Stone Sour
Bandages,Hot Hot Heat
Diamonds And Guns,Transplants
Blackout,(H?d)Planet Earth
Silver and Cold,AFI
Fly from the Inside,Shinedown
Frantic,Metallica
Imprint,DoubleDrive
Jump,Girls Aloud
Go with the Flow,Queens of the Stone Age
All in the Suit That You Wear,Stone Temple Pilots
The Only,Static-X
Running From Me,TRUSTcompany
Here without You,3 Doors Down
Won't Back Down,Fuel
American Life,Madonna
Farther,Outspoken
Hey Ya!,OutKast
Mine,Taproot
Girl's Not Grey,AFI
Falls on Me,Fuel
Everyone,Socialburn
Boulevard of Broken Dreams,Green Day
Fall to Pieces,Velvet Revolver
Slither,Velvet Revolver
Cold,Crossfade
Cold Hard Bitch,Jet
Vertigo,U2
American Idiot,Green Day
Breaking the Habit,Linkin Park
Scars,Papa Roach
Home,Three Days Grace
Megalomaniac,Incubus
The Reason,Hoobastank 
Just Like You,Three Days Grace
Let Me Go,3 Doors Down
Mr. Brightside,The Killers
Are You Gonna Be My Girl,Jet
 Lying from You,Linkin Park
Since U Been Gone,Kelly Clarkson
This Love,Maroon 5
Vitamin R (Leading Us Along),Chevelle
She Will Be Loved,Maroon 5
Meant To Live,Switchfoot
Burning Bright,Shinedown
So Cold,Breaking Benjamin
All Because of You,U2
I Miss You,Blink-182
Look What You've Done,Jet
Getting Away with Murder,Papa Roach
Ch-Check It Out,Beastie Boys
Ugly,The Exies
Rich Girl,Gwen Stefani 
Silver And Cold,AFI
So Far Away,Crossfade
Float On,Modest Mouse
Breakaway,Kelly Clarkson
Hey Now,Tantric
Pieces of Me,Ashlee Simpson
I Believe In A Thing Called Love,The Darkness
Maps,Yeah Yeah Yeahs
Duality,Slipknot
Anthem Of Our Dying Day,Story Of The Year
Broken,Seether
Touché,Godsmack
Vermilion,Slipknot
Pain,Jimmy Eat World
Take Me Out,Franz Ferdinand
Love Song,311
Open Your Eyes,Alter Bridge
Dirty Little Thing,Velvet Revolver
Redefine,Soil
All Downhill From Here,New Found Glory
My Happy Ending,Avril Lavigne
Triple Trouble,Beastie Boys
Until The Day I Die,Story Of The Year
Feelin' Way Too Damn Good,Nickelback
Running Blind,Godsmack
Talk Shows on Mute,Incubus
Take It Away,The Used
Ride,The Vines
Somebody Told Me,The Killers
"Jackson, Mississippi",Kid Rock
Vindicated,Dashboard Confessional
First Straw,311
If I Die Tomorrow,Motley Crue
Darling Nikki,Foo Fighters
All These Things That I've Done,The Killers
Slow Hands,Interpol
Only One,Yellowcard
Work,Jimmy Eat World
A Decade Under The Influence,Taking Back Sunday
5 Colours in Her Hair,McFly
Spin You Around,Puddle Of Mudd
This Fire,Franz Ferdinand
Razor's Edge,Saliva
So Far So Good,Thornley
I'll Stand by You [Children in Need 2004],Girls Aloud
Mono,Courtney Love
Save Me (Wake Up Call),Unwritten Law
Reptilia,The Strokes
(Can't Get My) Head Around You,The Offspring
Alive,Kenny Wayne Shepherd
The End Of The World,The Cure
Heel Over Head,Puddle of Mudd
Obviously,McFly
Some Kind Of Monster,Metallica
Sunday,Lo-Pro
Broken Down,Sevendust
Best of You,Foo Fighters
Save Me,Shinedown
Photograph,Nickelback
Wasteland,10 Years
Feel Good Inc.,Gorillaz
Be Yourself,Audioslave
Remedy,Seether
Holiday,Green Day
The Hand that Feeds,Nine Inch Nails
You're Beautiful,James Blunt
DOA,Foo Fighters
Hypnotize,System of a Down
Only,Nine Inch Nails
Bat Country,Avenged Sevenfold
Animals,Nickelback
Right Here,Staind
Beverly Hills,Weezer
"Dance, Dance",Fall Out Boy
I'm Not Okay (I Promise),My Chemical Romance
Every Day Is Exactly the Same,Nine Inch Nails
Wake Me Up When September Ends,Green Day
Happy?,Mudvayne
Twisted Transistor,Korn
Because of You,Kelly Clarkson
Hollaback Girl,Gwen Stefani
All Because Of You,U2
Dare, Gorillaz
Find The Real,Alter Bridge
Perfect Situation,Weezer
"Sugar, We're Goin' Down",Fall Out Boy
I Bet You Look Good On The Dancefloor,Arctic Monkeys
Just Stop,Disturbed
E-Pro,Beck
Stricken,Disturbed
Doesn't Remind Me,Audioslave
Hysteria (I Want It Now),Muse
Behind These Hazel Eyes,Kelly Clarkson
Lonely No More,Rob Thomas
Little Sister,Queens of the Stone Age
Talk,Coldplay
Sooner or Later,Breaking Benjamin
 Get Stoned,Hinder
B.Y.O.B.,System of a Down
Mississippi Queen,Ozzy Osbourne
I Don't Know,Lostprophets
Falling,Staind
Speed of Sound,Coldplay
You and Me,Lifehouse
Swing Life Away,Rise Against
The Clincher,Chevelle
Out Of Exile,Audioslave
Blue Jeans,Silvertide
When I'm Gone (Sadie),No Address
The Denial Twist,The White Stripes
Vermillion,Slipknot
Stand Up,Trapt
Pieces,Sum 41
Cold (But I'm Still Here),Evans Blue
"Come On, Come In",Velvet Revolver
Precious,Depeche Mode
Stars,Switchfoot
Walking Dead,Z-Trip featuring Chester Bennington
Shine It All Around,Robert Plant and the Strange Sensation
Lights and Sounds,Yellowcard
Live For Today,3 Doors Down
Not Now,Blink-182
Don't Tread on Me,311
Hollow,Submersed
All That I've Got,The Used
The Great Divide,Scott Stapp
Breakin',The Music
Question!,System of a Down
Who Says You Can't Go Home,Bon Jovi & Jennifer Nettles
Happens All The Time,Cold
Bom Bom Bom,Living Things
I'm The One,Static-X
Colors,Crossfade
I'm So Sick,Flyleaf
Face To Face,Sevendust
Attack,30 Seconds To Mars
Say Goodbye,Theory Of A Deadman
Sick Love Song ,Motley Crue
Blue Orchid,The White Stripes
Middle Of Nowhere,Hot Hot Heat
Rain,Breaking Benjamin
King without a Crown,Matisyahu
Dani California,Red Hot Chili Peppers
Pain,Three Days Grace
Animal I Have Become,Three Days Grace
Snow ((Hey Oh)),Red Hot Chili Peppers
Welcome to the Black Parade,My Chemical Romance
Through Glass,Stone Sour
Every Day Is Exactly The Same,Nine Inch Nails
Hypnotize,System Of A Down
It's Not Over,Daughtry
The Pot,Tool
Anna-Molly,Incubus
Miss Murder,AFI
"This Ain't a Scene, It's an Arms Race",Fall Out Boy
Tell Me Baby,Red Hot Chili Peppers
When You Were Young,The Killers
Speak,Godsmack
World Wide Suicide,Pearl Jam
From Yesterday,30 Seconds to Mars
Get Stoned,Hinder
The Sweet Escape,Gwen Stefani
Lips of an Angel,Hinder
"Steady, As She Goes",The Raconteurs
The Diary of Jane,Breaking Benjamin
Lights And Sounds,Yellowcard
Face Down,The Red Jumpsuit Apparatus
Tear You Apart,She Wants Revenge
Land of Confusion,Disturbed
Famous Last Words,My Chemical Romance
Ladies and Gentlemen,Saliva
King Without A Crown,Matisyahu
Sillyworld,Stone Sour
Vicarious,Tool
Hate Me,Blue October
Starlight,Muse
Dare,Gorillaz featuring Shaun Ryder
Crazy,Gnarls Barkley
Supermassive Black Hole,Muse
The Kill (Bury Me),30 Seconds to Mars
No Way Back,Foo Fighters
Rockstar,Nickelback
Rehab,Amy Winehouse
Crooked Teeth,Death Cab For Cutie
I Dare You,Shinedown
Wind It Up,Gwen Stefani
American Witch ,Rob Zombie
Paralyzed,Rock Kills Kid
Crazy Bitch,Buckcherry
Ready To Fall,Rise Against
Nausea,Beck
Original Fire,Audioslave
Fall into Sleep,Mudvayne
Lonely Train,Black Stone Cherry
When Your Heart Stops Beating,(+44)
Call Me When You're Sober,Evanescence
The Enemy,Godsmack
Victim,Eighteen Visions
Devil's Got A New Disguise,Aerosmith
Coming Undone,Korn
Move,Thousand Foot Krutch
Patience,Take That
Falls Apart,Hurt
Goodbye,Army of Anyone 
Seize The Day,Avenged Sevenfold
Ten Thousand Fists,Disturbed
Rapture,Hurt
Chasing Cars,Snow Patrol
I Don't Feel Like Dancin',Scissor Sisters
Goodbye For Now,P.O.D.
Don't Wait,Dashboard Confessional
All These Things I Hate (Revolve Around Me),Bullet for My Valentine
Next 2 You,Buckcherry
Revelations,Audioslave
Ugly,Sevendust
Devil's Daughter,Silvertide
Walk Away,Kelly Clarkson
Heroes,Shinedown
Wings Of A Butterfly,HIM
Here (In Your Arms),Hellogoodbye
Beast And The Harlot,Avenged Sevenfold
Naive,The Kooks
Youth,Matisyahu
Breaking Free,High School Musical
Into The Ocean,Blue October
Far Away,Nickelback
Hands Open,Snow Patrol
Do I Make You Proud,Taylor Hicks
Do It For Me Now,Angels And Airwaves
What I've Done,Linkin Park
The Pretender,Foo Fighters
Fake It,Seether
From Yesterday,30 Seconds To Mars
Psycho,Puddle of Mudd
Never Too Late,Three Days Grace
Paralyzer,Finger Eleven
Ladies And Gentlemen,Saliva
Long Road to Ruin,Foo Fighters
Breath,Breaking Benjamin
Shadow of the Day,Linkin Park
Icky Thump,The White Stripes
Makes Me Wonder,Maroon 5
Girlfriend,Avril Lavigne
Love Song,Sara Bareilles
I Get It,Chevelle
Almost Easy,Avenged Sevenfold
Forever,Papa Roach
Bleed It Out,Linkin Park
Given Up,Linkin Park
I Don't Wanna Stop,Ozzy Osbourne
Hey There Delilah,Plain White T's
Survivalism,Nine Inch Nails
 Apologize,OneRepublic
Tarantula,The Smashing Pumpkins
How Long,Hinder
Prayer Of The Refugee,Rise Against
Famous,Puddle of Mudd
Gimme More,Britney Spears
Empty Walls,Serj Tankian
Level,The Raconteurs
So Hott,Kid Rock
Until the End,Breaking Benjamin
She Builds Quick Machines,Velvet Revolver
"This Ain't A Scene, It's An Arms Race",Fall Out Boy
Ten Ton Brick,Hurt
Piece of Me,Britney Spears
Life Is Beautiful,Sixx: A.M.
Sorry,Buckcherry
Grace Kelly,Mika
Misery Business,Paramore
Stop and Stare,OneRepublic
Home,Daughtry
Becoming the Bull,Atreyu
Thrash Unreal,Against Me!
Crushcrushcrush,Paramore
Well Enough Alone,Chevelle
Never Again,Kelly Clarkson
Dig,Incubus
Straight Lines,Silverchair
Made Of Scars,Stone Sour
Rise Today,Alter Bridge
All These Things I Hate (Revolve Around Me),Bullet For My Valentine
Amen,Kid Rock
The Good Left Undone,Rise Against
Hard Sun,Eddie Vedder
Not Going Away,Ozzy Osbourne
Riot,Three Days Grace
Believe,The Bravery
Evolution,Korn
Breathe Into Me,Red
Phantom Limb,The Shins
Homecoming Queen,Hinder
About You Now,Sugababes
The Last Fight,Velvet Revolver
All Around Me,Flyleaf
Dull Boy,Mudvayne
The Missing Frame,AFI
Politics ,Korn
Dance Of The Manatee,Fair To Midland
Stiff Kittens,Blaqk Audio
Shine,Take That
When You're Gone,Avril Lavigne
Far Behind,Social Distortion
The Running Free,Coheed And Cambria
Hold On,Korn
You Wouldn't Know,HellYeah
If I Had Eyes,Jack Johnson
Everything,Buckcherry
The War,Angels And Airwaves
Soldiers,Drowning Pool
What Time Is It?,High School Musical 2
My Curse,Killswitch Engage
Big Casino,Jimmy Eat World
Island (Float Away),The Starting Line
Scream Aim Fire,Bullet for My Valentine
Liar (It Takes One To Know One),Taking Back Sunday
Drown You Out,Crossfade
The Ecstasy Of Gold,Metallica
Far Cry,Rush
Use Somebody,Kings of Leon
Psycho,Puddle Of Mudd
Inside the Fire,Disturbed
Second Chance,Shinedown
Long Road To Ruin,Foo Fighters
Sex on Fire,Kings of Leon
"You're Gonna Go Far, Kid",The Offspring 
The Day That Never Comes,Metallica
Viva La Vida,Coldplay
Pork and Beans,Weezer
It's Not My Time,3 Doors Down
Shadow Of The Day,Linkin Park
Let It Die,Foo Fighters
Believe,Staind
Cyanide,Metallica
Womanizer,Britney Spears
Something in Your Mouth,Nickelback
Hot n Cold,Katy Perry
Rise Above This,Seether
Devour,Shinedown
Bad Girlfriend,Theory of a Deadman
Chinese Democracy,Guns N' Roses
Indestructible,Disturbed
Breakdown,Seether
Ten Ton Brick,Hurt 
Until The End,Breaking Benjamin
Let It Rock,Kevin Rudolf
Addicted,Saving Abel
Ain't No Rest for the Wicked,Cage the Elephant
I'm Not Jesus,Apocalyptica featuring Corey Taylor
Do What You Do,Mudvayne
Gives You Hell,The All-American Rejects
Down And Out,Tantric
Love Me Dead,Ludo
Broken Again,Another Animal
Hammerhead,The Offspring
Bodysnatchers,Radiohead
The Bleeding,Five Finger Death Punch
Rock 'N Roll Train,AC/DC
Well Thought Out Twinkles,Silversun Pickups
Circus,Britney Spears
Falling Down,Atreyu
Lost!,Coldplay
Undead,Hollywood Undead
Decode,Paramore
Train,3 Doors Down
Shake It,Metro Station
Sittin' At A Bar (Bartender Song),Rehab
G.L.O.W.,The Smashing Pumpkins
Re-Education (Through Labor),Rise Against
You Found Me,The Fray
I Don't Care,Apocalyptica featuring Adam Gontier
Paper Planes,M.I.A.
Bartender Song,Rehab
So Happy,Theory of a Deadman
The Fad,Chevelle
Help Me,Alkaline Trio
In This City,Iglu & Hartly
Family Reunion,Saliva
Troublemaker,Weezer
What About Now,Daughtry
Use Me,Hinder
Handlebars,Flobots
Kids,MGMT
They Say,Scars On Broadway
"Too Much, Too Young, Too Fast",Airbourne
Issues,The Saturdays
37 Stitches,Drowning Pool
Scream Aim Fire,Bullet For My Valentine
Human,The Killers
The Time of My Life,David Cook
Slow Burn,Atreyu
Spaceman,The Killers
Salute Your Solution,The Raconteurs
I'm Not Over,Carolina Liar
Gotta Be Somebody,Nickelback
Two Weeks,All That Remains
Hell Yeah,Rev Theory
Untouched,The Veronicas
Blind Man,Black Stone Cherry
Burnin' Up,Jonas Brothers
Shadowplay,The Killers
Broken Strings,James Morrison
Prodigal Son,Sevendust
Beautiful,10 Years
Gamma Ray,Beck
Black Rain,Ozzy Osbourne
Watch Over You,Alter Bridge
Hallelujah,Jeff Buckley
Enemy,Drowning Pool
New Divide,Linkin Park
Boom Boom Pow,The Black Eyed Peas
I Gotta Feeling,The Black Eyed Peas
Something In Your Mouth,Nickelback
Uprising,Muse
Check My Brain,Alice in Chains
Use Somebody,Kings Of Leon
Know Your Enemy,Green Day
Sound Of Madness,Shinedown
Break,Three Days Grace
Kings and Queens,30 Seconds to Mars
(If You're Wondering If I Want You To) I Want You To,Weezer
Back Against the Wall,Cage the Elephant
I Will Not Bow,Breaking Benjamin
"Hey, Soul Sister", Train
Ain't No Rest For The Wicked,Cage The Elephant
If You Only Knew,Shinedown
Lifeline,Papa Roach
Brother,Pearl Jam
Whiskey Hangover,Godsmack
Jars,Chevelle
Resistance,Muse
Dead Memories,Slipknot
1901,Phoenix
Love Hurts,Incubus
21 Guns,Green Day
Hey You,311
Overcome,Creed
Wheels,Foo Fighters
You're Going Down,Sick Puppies
Invincible,Adelitas Way
Champagne,Cavo
Sweet Disposition,The Temper Trap
I Get Off,Halestorm
The Fixer,Pearl Jam
Scarlet Letters,Mudvayne
Meet Me Halfway,The Black Eyed Peas
Medicate,AFI
Panic Switch ,Silversun Pickups
Feel Good Drag,Anberlin
Dirt Room,Blue October
Waking Up in Vegas,Katy Perry
Notion,Kings of Leon
"Kristy, Are You Doing OK?",The Offspring
The Night,Disturbed
100 In A 55,Pop Evil
